frame_id,timestamp_ms,u1,v1,u2,v2
0000,0,771,482,1112,784
0001,33,775,482,1114,787
0002,67,777,481,1117,792
0003,100,777,481,1117,792
0004,133,781,480,1121,794
0005,167,784,482,1123,794
0006,200,794,481,1126,795
0007,234,797,481,1132,799
0008,267,797,481,1132,799
0009,300,799,481,1135,800
0010,334,803,481,1137,800
0011,367,805,481,1138,803
0012,400,807,481,1141,811
0013,434,807,481,1141,811
0014,467,812,482,1140,816
0015,501,812,482,1142,817
0016,534,806,482,1151,818
0017,567,805,483,1154,820
0018,601,805,483,1154,820
0019,634,803,483,1157,824
0020,667,811,483,1152,830
0021,701,808,483,1154,833
0022,734,796,484,1165,831
0023,767,795,484,1165,831
0024,801,800,484,1158,841
0025,834,795,484,1160,844
0026,868,782,486,1170,848
0027,901,780,486,1172,850
0028,934,780,486,1172,850
0029,968,777,487,1174,855
0030,1001,774,487,1174,861
0031,1034,772,488,1174,863
0032,1068,770,488,1175,866
0033,1101,770,488,1175,866
0034,1134,767,488,1175,868
0035,1168,766,489,1175,870
0036,1201,763,489,1176,871
0037,1235,759,489,1175,873
0038,1268,760,489,1176,873
0039,1301,755,489,1177,878
0040,1335,757,484,1181,881
0046,1535,735,483,1215,893
0047,1568,732,483,1220,894
0048,1602,732,483,1220,894
0049,1635,729,483,1229,894
0050,1668,725,482,1236,894
0051,1702,724,482,1242,896
0052,1735,723,482,1250,901
0053,1768,723,482,1250,901
0054,1802,721,482,1253,900
0055,1835,721,482,1259,901
0056,1869,720,482,1263,903
0057,1902,718,482,1269,903
0058,1935,718,482,1269,903
0059,1969,715,481,1280,906
0060,2002,714,481,1282,905
0061,2035,713,481,1284,905
0062,2069,712,481,1290,906
0063,2102,712,481,1290,906
0064,2135,713,481,1298,906
0065,2169,713,481,1300,904
0066,2202,712,481,1299,903
0067,2236,711,481,1297,902
0068,2269,711,481,1297,902
0069,2302,710,481,1294,900
0070,2336,709,481,1290,897
0071,2369,709,481,1288,895
0072,2402,709,481,1286,893
0073,2436,709,481,1286,893
0074,2469,709,481,1283,893
0075,2502,709,482,1279,889
0076,2536,708,482,1269,886
0077,2569,707,482,1264,885
0078,2603,707,482,1264,885
0079,2636,705,482,1257,883
0080,2669,701,482,1254,882
0081,2703,696,482,1249,880
0082,2736,691,482,1240,877
0083,2769,691,482,1240,877
0084,2803,688,482,1235,877
0085,2836,687,482,1228,872
0086,2870,684,482,1220,868
0087,2903,672,485,1218,875
0088,2936,672,485,1218,875
0089,2970,668,484,1210,874
0090,3003,666,484,1198,868
0091,3036,663,483,1187,866
0092,3070,657,483,1181,863
0093,3103,657,483,1181,863
0094,3136,647,482,1170,857
0095,3170,640,482,1160,856
0096,3203,635,482,1155,855
0097,3237,631,482,1148,854
0098,3270,631,482,1148,854
0099,3303,629,482,1138,852
0100,3337,624,482,1133,851
0101,3370,617,482,1125,852
0102,3403,613,482,1116,846
0103,3437,613,482,1117,846
0104,3470,609,482,1108,843
0105,3504,603,482,1097,843
0109,3637,581,484,1064,833
0110,3670,577,484,1057,830
0115,3837,562,489,1024,804
0116,3871,563,489,1016,800
0117,3904,561,489,1001,798
0118,3937,561,489,1001,798
0119,3971,549,489,993,797
0120,4004,544,489,987,795
0121,4037,542,488,977,792
0122,4071,541,488,971,786
0123,4104,541,488,971,786
0124,4137,534,486,956,788
0125,4171,534,486,943,786
0126,4204,531,486,934,780
0127,4238,529,486,924,775
0128,4271,529,486,923,775
0129,4304,527,485,902,769
0130,4338,525,481,885,769
0131,4371,523,481,879,764
0132,4404,524,480,872,761
0133,4438,524,480,872,760
0134,4471,524,479,866,757
0135,4504,524,479,856,755
0136,4538,524,478,846,756
0137,4571,522,478,834,755
0138,4605,522,478,834,755
0139,4638,514,478,824,755
0140,4671,510,476,820,751
0141,4705,505,475,809,751
0142,4738,501,474,800,746
0143,4771,500,474,800,746
0144,4805,495,475,793,743
0145,4838,492,475,783,744
0146,4872,491,475,777,744
0147,4905,489,475,770,738
0148,4938,489,475,770,738
0149,4972,487,475,762,732
0150,5005,482,474,759,727
0151,5038,481,474,756,725
0152,5072,477,473,751,726
0153,5105,477,473,751,726
0154,5138,474,472,748,722
0155,5172,471,473,737,719
0156,5205,469,472,733,720
0157,5239,466,472,730,719
0158,5272,466,472,730,719
0159,5305,463,472,727,720
0160,5339,462,472,724,718
0161,5372,461,472,724,718
0162,5405,460,472,724,716
0163,5439,460,472,724,716
0164,5472,459,473,722,715
0165,5506,458,473,720,711
0166,5539,457,473,718,706
0167,5572,455,473,717,707
0168,5606,455,473,717,706
0169,5639,452,473,717,706
0170,5672,451,473,717,707
0171,5706,450,473,717,706
0172,5739,449,474,715,706
0173,5772,449,474,715,706
0175,5839,452,474,714,707
0176,5873,452,474,715,707
0177,5906,452,474,715,706
0178,5939,452,474,715,705
0179,5973,452,474,715,704
0180,6006,452,474,715,703
0181,6039,452,474,715,703
0182,6073,452,474,715,702
0183,6106,452,474,715,702
0184,6139,451,474,715,702
0185,6173,452,474,716,702
0186,6206,452,474,715,702
0187,6240,452,474,715,701
0188,6273,452,474,715,701
0189,6306,451,474,716,701
0190,6340,452,474,715,701
0191,6373,452,474,716,701
0192,6406,451,474,716,701
0193,6440,451,474,716,701
0194,6473,451,474,716,701
0195,6506,451,474,716,701
0196,6540,451,474,716,701
0197,6573,451,474,716,701
0198,6607,451,474,716,701
0199,6640,451,474,716,701
0200,6673,451,474,716,701
0201,6707,451,474,716,701
